File,Address,Hop,IP,Average Time
point.mephi.ru,point.mephi.ru,1,192.168.4.1,6.91
point.mephi.ru,point.mephi.ru,2,92.12.32.1,8.68
point.mephi.ru,point.mephi.ru,3,78.144.1.23,12.06
point.mephi.ru,point.mephi.ru,4,78.144.1.22,18.62
point.mephi.ru,point.mephi.ru,5,78.144.1.114,12.25
point.mephi.ru,point.mephi.ru,6,195.66.225.24,12.94
point.mephi.ru,point.mephi.ru,7,109.105.97.79,27.72
point.mephi.ru,point.mephi.ru,8,109.105.97.104,28.05
point.mephi.ru,point.mephi.ru,9,99.83.70.245,47.53
point.mephi.ru,point.mephi.ru,11,194.85.42.129,52.8
point.mephi.ru,point.mephi.ru,12,194.85.43.136,82.6
point.mephi.ru,point.mephi.ru,14,85.143.112.112,63.24
