File,Address,Hop,IP,Average Time
2024-04-25_02.txt,www.fmprc.gov.cn,1,139.222.0.1,1.46
2024-04-25_02.txt,www.fmprc.gov.cn,2,10.0.0.1,7.82
2024-04-25_02.txt,www.fmprc.gov.cn,3,193.62.92.126,0.76
2024-04-25_02.txt,www.fmprc.gov.cn,4,10.11.2.2,1.4
2024-04-25_02.txt,www.fmprc.gov.cn,5,146.97.130.237,5.79
2024-04-25_02.txt,www.fmprc.gov.cn,6,146.97.35.217,5.61
2024-04-25_02.txt,www.fmprc.gov.cn,7,146.97.33.61,6.3
2024-04-25_02.txt,www.fmprc.gov.cn,8,146.97.35.194,5.76
2024-04-25_02.txt,www.fmprc.gov.cn,10,62.115.138.168,7.16
2024-04-25_02.txt,www.fmprc.gov.cn,11,62.115.120.239,6.29
2024-04-25_02.txt,www.fmprc.gov.cn,12,62.115.161.119,6.8
2024-04-25_02.txt,www.gov.za,1,139.222.0.1,1.14
2024-04-25_02.txt,www.gov.za,2,10.0.0.1,8.42
2024-04-25_02.txt,www.gov.za,3,193.62.92.126,0.69
2024-04-25_02.txt,www.gov.za,4,10.11.2.2,1.07
2024-04-25_02.txt,www.gov.za,5,146.97.130.237,5.66
2024-04-25_02.txt,www.gov.za,6,146.97.35.217,6.21
2024-04-25_02.txt,www.gov.za,7,146.97.33.61,18.35
2024-04-25_02.txt,www.gov.za,8,146.97.35.194,5.86
2024-04-25_02.txt,www.gov.za,9,62.115.175.106,5.71
2024-04-25_02.txt,www.gov.za,10,62.115.138.168,7.26
2024-04-25_02.txt,www.gov.za,11,62.115.120.75,6.17
2024-04-25_02.txt,www.gov.za,15,168.209.1.200,167.53
2024-04-25_02.txt,www.gov.za,16,168.209.129.144,173.04
2024-04-25_02.txt,www.gov.za,17,168.209.90.7,169.69
2024-04-25_02.txt,www.gov.za,18,168.209.131.135,173.49
2024-04-25_02.txt,www.gov.za,19,197.97.72.54,169.09
2024-04-25_02.txt,www.gov.scot,1,139.222.0.1,1.35
2024-04-25_02.txt,www.gov.scot,2,10.0.0.1,6.73
2024-04-25_02.txt,www.gov.scot,3,193.62.92.126,0.71
2024-04-25_02.txt,www.gov.scot,4,10.11.2.2,0.91
2024-04-25_02.txt,www.gov.scot,5,146.97.130.237,22.42
2024-04-25_02.txt,www.gov.scot,6,146.97.35.217,5.75
2024-04-25_02.txt,www.gov.scot,7,146.97.35.182,6.56
2024-04-25_02.txt,www.gov.scot,8,99.82.180.146,19.76
2024-04-25_02.txt,www.gov.scot,12,52.94.35.137,7.79
2024-04-25_02.txt,www.gov.scot,18,143.204.194.66,7.25
2024-04-25_02.txt,www5.usp.br,1,139.222.0.1,72.7
2024-04-25_02.txt,www5.usp.br,2,10.0.0.1,7.64
2024-04-25_02.txt,www5.usp.br,3,193.62.92.126,1.21
2024-04-25_02.txt,www5.usp.br,4,10.11.2.2,3.75
2024-04-25_02.txt,www5.usp.br,5,146.97.130.237,24.13
2024-04-25_02.txt,www5.usp.br,6,146.97.35.217,5.79
2024-04-25_02.txt,www5.usp.br,7,146.97.33.5,6.37
