ID,n_estimators,max_depth,criterion,mean_score,std_score
0,100,None,gini,0.973796,0.006581
1,100,None,entropy,0.980351,0.004644
2,100,10,gini,0.970524,0.00467
3,100,10,entropy,0.977731,0.003838
4,100,25,gini,0.973796,0.006581
5,100,25,entropy,0.980351,0.004644
6,200,None,gini,0.976421,0.003832
7,200,None,entropy,0.977728,0.005653
8,200,10,gini,0.973803,0.003598
9,200,10,entropy,0.979042,0.003354
10,200,25,gini,0.976421,0.003832
11,200,25,entropy,0.977728,0.005653
12,400,None,gini,0.976419,0.00437
13,400,None,entropy,0.977728,0.004833
14,400,10,gini,0.976419,0.003846
15,400,10,entropy,0.976421,0.003231
16,400,25,gini,0.976419,0.00437
17,400,25,entropy,0.977728,0.004833
